Abbrev,Description,Usages
MARSA,military assumes responsibility for separation of aircraft,GEN
MAS,manual A1 simplex,ICAO
MAS,military alert system,GEN
MAX,maximum,GEN
MB,marker beacon,GEN
MB,millibars,GEN
MCA,minimum crossing altitude,GEN
MCAS,Marine Corps Air Station,GEN
MCAS(H),Marine Corps Air Station (Helicopter),GEN
MCK,maintenance check,GEN
MCS,Master Control Station,ATC
MCW,modulated continuous wave,ICAO
MCZNE,minimum when control zone effective,GEN
MDA,minimum descent altitude,GEN
MDF,medium frequency direction finding station,ICAO
MDFR,make descent from,ATC
MDFY,modify,GEN
MDH,minimum descent height,ICAO
MDT,moderate,GEN
MDZ,modernize,GEN
MDZN,modernization,GEN
MEA,minimum en route altitude,GEN
MECH,mechanic,GEN
MED,medical,GEN
MED,medium,GEN
MEGG,merging,NWS
MEHT,minimum eye height over threshold,ICAO
MEML,memorial,GEN
MET,meteorological,GEN
METAR,aviation routine weather report,ICAO
METOF,meteorological officer,GEN
METRO,metropolitan,GEN
MEX,Mexico,NWS
MF,medium frequency,GEN
MFL,maintain flight level,ATC
MFOB,minimum fuel on board,ATC
MFPOF,master flight plan on file,ATC
MFS,military flight service,GEN
MFV,forward visibility more than (miles),ATC
MFXT,meter fix time,ATC
MGAT,make good a track of (degrees),ATC
MGMT,make good a magnetic track of (degrees),ATC
MGMT,management,GEN
MGR,manager,GEN
MHA,minimum holding altitude,GEN
MHDF,medium and high frequency directionfinding station (same location),ICAO
MHDG,magnetic heading,GEN
MHFR,military height finder radar,GEN
MHKVLY,Mohawk Valley,NWS
MHVDF,medium high and very high frequency directionfinding station (same location),ICAO
MHz,megahertz,GEN
MI,manufacturing inspector,GEN
MI,mile,GEN
MI,shallow,METAR
MID,middle,GEN
MID,midpoint (related to RVR),ICAO
MID/ASIA,ICAO Middle East/Asia Region,ATC
MIDIZ,MidCanada Identification Zone,GEN
MIDN,midnight,NWS
MIDPT,midpoint,GEN
MIFG,patches of shallow fog not deeper than two meters,NWS
MIFG,shallow fog,METAR
MIJI,"meaconing, intrusion, jamming, interference",ATC
MIL,military,GEN
MIMNO,mimeographic notice,GEN
MIN,minute,GEN
MINIT,minutes in trail,ATC
MIREQ,minimum requirements specified,GEN
MIRL,medium intensity runway edge lights,GEN
MIS,Missing …(transmission identification),ICAO
MISC,miscellaneous,GEN
MISG,missing,GEN
MISL,missile,GEN
MIT,miles in trail,ATC
MITO,minimum interval takeoff,ATC
MKCT,make check turn,ATC
MKD,marked,GEN
MKR,marker,GEN
MKR,marker radio beacon,ICAO
MLS,microwave landing system,GEN
MLTLVL,melting level,NWS
MM,middle marker,ATC
MM,millimeter,GEN
MMACH,maintain Mach,ATC
MMO,main meteorological office,NWS
MNLD,mainland,NWS
MNLY,mainly,GEN
MNM,minimum,ICAO
MNPS,minimum navigation performance specification,ATC
MNPSA,minimum navigation performance specification airspace,ATC
MNT,monitor,ICAO
MNTN,maintain,ICAO
MNVR,maneuver,GEN
MOA,memorandum of agreement,GEN
MOA,military operations area,GEN
MOC,minimum obstacle clearance (required),ICAO
MOCA,minimum obstruction clearance altitude,GEN
MOD,moderate,GEN
MOD,modulate or modulation or modulator,GEN
MOGR,moderate or greater,NWS
MON,above mountains,ICAO
MONOK,monitor resumed normal operation,GEN
MONOS,monitor out of service,GEN
MONTR,monitor,NWS
MOPS,Minimum operational performance standards,ICAO
MOPTAR,multiobject phase tracking and ranging,GEN
MOREPS,monitor station reports,GEN
MOT,Ministry of Transport (Canada),GEN
MOTNE,Meteorological Operational Telecommunications Network Europe,ICAO
MOV,move,NWS
MPH,miles per hour,GEN
MPP,Merit Promotion Program,GEN
MPS,meters per second,ICAO
MPVA,maintain a position VFR and advise,ATC
MRA,minimum reception altitude,GEN
MRG,medium range,GEN
MRGL,marginal,NWS
MRM,maintenance returns monitor,GEN
MRNG,morning,NWS
MRP,ATS/MET reporting point,ICAO
MRR,mechanical reliability report,GEN
MRTM,maritime,NWS
MRU,Military Radar Unit,GEN
MS,minus,NWS
MSA,minimum safe/sector altitude,GEN
MSAW,minimum safe altitude warning,GEN
MSG,message,GEN
MSGCTR,message center,GEN
MSL,mean sea level,GEN
MSR,Message …(transmission identification) has been misrouted,ICAO
MSSR,Monopulse secondary surveillance radar,ICAO
MSTLY,mostly,NWS
MSTR,moisture,NWS
MT,mountain,ICAO
MTCA,minimum terrain clearance altitude,GEN
MTI,moving target indicator,ATC
MTN,mountain,NWS
MTR,military training route,GEN
MTRL,material,GEN
MTRY,momentary,GEN
MTU,metric units,ICAO
MTW,mountain wave,ICAO
MU,designate a friction value representing runway surface conditions (Greek letter),GEN
MUA,maximum usable altitude,GEN
MUF,maximum usable frequency,GEN
MULT,multiple,GEN
MUNI,municipal,GEN
MV,millivolt,GEN
MVA,minimum vector altitude,GEN
MVDF,medium and very high frequency directionfinding station (same location),ICAO
MVFR,maintain VFR,ATC
MVFR,marginal VFR,NWS
MVSP,maintain visual separation,ATC
MWO,Meteorological Watch Office,ICAO
MWRC,maintain well to right of course,ATC
MWTCS,modernized weather teletypewriter communications system,GEN
MXD,mixed,NWS
N,north or northern latitude,ICAO
N/A,not applicable,GEN
NA,not authorized,GEN
NAAS,Naval Auxiliary Air Station,GEN
NAATS,National Association of Air Traffic Control Specialists,GEN
NAB,not above,GEN
NACOS,national communications schedule,GEN
NADIN,National Airspace Data Interchange Network,GEN
NAF,Naval Air Facility,GEN
NAFEC,National Aviation Facilities Experimental Center,GEN
NANAC,National Aircraft Noise Abatement Council,GEN
NAP,not at present,GEN
NAPRS,National Airspace Performance Reporting System,ATC
NAR,North American Route,GEN
NAR,not according to routine,GEN
NAS,National Airspace System,GEN
NAS,Naval Air Station,GEN
NASA,National Aeronautics and Space Administration,GEN
NASC,National AIS system centre,ICAO
NASEO,National Airways System Engineering office,GEN
NASP,National Airport System Plan,GEN
NAT,North Atlantic,GEN
NAT,not ARTS tracked,ATC
NATCA,National Air Traffic Controllers Association,ATC
NATCAS,"Navigation, ATC, and Collision Avoidance System",GEN
NATCC,National Air Transport Coordinating Committee,GEN
NATCOM,National Communications Center,GEN
NATL,national,GEN
NATR,no additional traffic reported,ATC
NATS,noise abatement test system,GEN
NAV,navigation,GEN
NAVAID,navigational aid,GEN
NAVLO,Navy Liaison Officer,GEN
NAVREP,Navy Representative to the FAA,GEN
NB,New Brunswick,NWS
NB,northbound,ICAO
NBCAP,national beacon code allocation plan,GEN
NBFR,not before,ICAO
NBND,northbound,GEN
NBRHD,neighborhood,GEN
NC,no change,GEN
NCDC,National Climatic Data Center,GEN
NCE,no change in estimates,ATC
NCS,National Communications System,GEN
NCWX,no change in weather,NWS
NDB,nondirectional radio beacon,GEN
NDB/DME,NDB and DME (collocated),GEN
NDBLO,not to descend below,ATC
NE,northeast,ICAO
NEB,northeastbound,ICAO
NEC,necessary,GEN
NEF,no further clearance required,ATC
NEG,negative,GEN
NELY,northeasterly (weather reports only),NWS
NERN,northeastern,NWS
NESS,national environmental satellite service,GEN
NETR,no essential traffic reported,ATC
NEW,ENG New England,NWS
NFDC,National Flight Data Center,GEN
NFDD,National Flight Data Digest,GEN
NFLD,Newfoundland,NWS
NFQ,night frequency,GEN
NFT,no filing time,GEN
NFU,not for us,GEN
NG,National Guard,GEN
NGT,night,NWS
NHD,not heard,ATC
NICS,National Airspace System Interfacility Communications System,GEN
NIL,none,GEN
NIL,unable to transmit,GEN
NIS,not in system,GEN
NL,no layers,NWS
NLT,not later than,GEN
NM,nautical mile,GEN
NMBR,number,NWS
NMC,National Meteorological Center,GEN
NML,normal,GEN
NMN,no middle name,GEN
NMR,nautical mile radius,GEN
NMRS,numerous,GEN
NNE,northnorth east,ICAO
NNERN,northnortheastern (weather reports only),NWS
NNEWD,northnortheastward (weather reports only),NWS
NNW,northnorth west,ICAO
NNWRN,northnorthwestern (weather reports only),NWS
NNWWD,northwestward (weather reports only),NWS
NO,No (negative),ICAO
NO,not available,METAR
NOAA,National Oceanic and Atmospheric Administration,GEN
NOAC,no action necessary,GEN
NOF,NOTAM Office,GEN
NOFIN,no further information,GEN
NOHOL,not holding,ATC
NOIFN,no information,GEN
NOMAD,Naval Oceanographic Meteorological Automatic Device,GEN
NONEG,negative replies not required,GEN
NOPAC,North Pacific,ATC
NOPAR,do not pass to Air Defense radar,ATC
NOPT,no procedure turn required,GEN
NORAC,no radio contact,ATC
NORAD,North American Aerospace Defense Command,GEN
NORDO,no radio,GEN
NOREC,no record,GEN
NOREP,no report,GEN
NORIV,no arrival report,ATC
NORPI,no pilot balloon observation will be filed next collection unless weather changes significantly,NWS
NORR,no reply received,GEN
NORST,no restrictions,GEN
NOS,National Ocean Service,GEN
NOSI,now simultaneous,GEN
NOSIG,no significant change,ICAO
NOSPL,no special observations taken (weather reports only),NWS
NOSUM,NOTAM Summary,GEN
NOTAM,Notice to Airmen,GEN
NOZ,normal operating zone,GEN
NOZ,Normal operating zone,ICAO
NPI,nonprecision instrument,GEN
NPRL,no parallel traffic,ATC
NPRM,Notice of Proposed Rulemaking,ATC
NPRS,nonpersistent,NWS
NR,near,GEN
NR,number,GEN
NRAB,Naval Reserve Air Base,GEN
NRD,no record of destination,GEN
NRH,no reply heard,ICAO
NRP,North American route program,ATC
NRV,nonrevenue,GEN
NRW,narrow,GEN
NS,nimbostratus,NWS
NS,Nova Scotia,NWS
NSC,no significant cloud,ICAO
NSC,Nonstandard C/A Code,ATC
NSCSWD,no small craft or storm warning are being displayed,NWS
NSP,nonstandard holding pattern,GEN
NSSFC,National Severe Storm Forecast Center,GEN
NSTP,nonstop,GEN
NSW,no significant weather,METAR
NTAP,National Track Analysis Program,ATC
NTAP,Notices To Airmen Publication,ATC
NTE,not to exceed,GEN
NTFND,no trouble found,GEN
NTFY,notify,GEN
NTL,National,ICAO
NTO,name to,GEN
NTRP,no traffic reported,ATC
NTSB,National Transportation Safety Board,GEN
NTZ,no transgression zone,ATC
NTZ,No transgression zone,ICAO
NUDET,nuclear detonation,GEN
NVA,negative vorticity advection,NWS
NW,northwest,ICAO
NWB,northwestbound,ICAO
NWLY,northwesterly (weather reports only),NWS
NWRN,northwestern (weather reports only),NWS
NWS,National Weather Service,GEN
NWSO,Naval Weather Service Office,GEN
NXT,next,GEN
O/F,on file,GEN
O/R,on request,GEN
O/T,overtime,GEN
OA,overhead approach,ATC
OAC,oceanic area control,GEN
OAG,Official Airline Guide,GEN
OANDR,operation and regulation,GEN
OAOI,on and off instruments,ATC
OARTS,oceanic air route tracking system,GEN
OAS,obstacle assessment surface,ICAO
OAT,outside air temperature,GEN
OB,on board,GEN
OBL,obliterate,GEN
OBND,outbound,ATC
OBS,observation,NWS
OBSC,obscure,NWS
OBST,obstacle,ICAO
OBST,obstruct,GEN
OBSTN,obstruction,GEN
OC,on course,ATC
OCA,obstacle clearance altitude,ICAO
OCAC,oceanic ATC,GEN
OCAS,out of controlled airspace,ATC
OCFNT,occluded front,NWS
OCH,obstacle clearance height,ICAO
OCL,obstacle clearance limit,ICAO
OCLD,occlude,NWS
OCLN,occlusion,NWS
OCNL,occasional,GEN
OCR,occur,GEN
OCS,obstacle clearance surface,ICAO
OCTLA,out of control area,ATC
ODALS,omnidirectional approach lighting system,GEN
ODAPS,Oceanic Display and Planning System,ATC
OFAS,overseas flight assistance service,GEN
OFC,office,GEN
OFFL,official,GEN
OFM,out for maintenance,GEN
OFP,original flight plan,GEN
OFSHR,offshore,NWS
OFW,off watch,GEN
OFXT,outer fix time,ATC
OFZ,Obstacle free zone,ICAO
OG,on ground,ATC
OGN,Originate,ICAO
OHD,overhead,ICAO
OI,on instruments,ATC
OINT,omni intersection,GEN
OIS,operational information system,ATC
OJT,onthejob training,GEN
OK,operating normally,GEN
OK,We agree or it is correct,ICAO
OLDI,On line data interchange,ICAO
OLS,optical landing system,ATC
OM,outer marker,GEN
OMSG,our message,GEN
OMTNS,over mountains,NWS
ONER,oceanic navigational error report,ATC
ONSHR,on shore,NWS
ONT,Ontario,NWS
ONW,on watch,GEN
OOT,out of tolerance,GEN
OPA,"opaque, white type of ice formation",ICAO
OPC,operational control,ICAO
OPDT,opposite direction traffic,GEN
OPER,operate,GEN
OPMET,operational meteorological (information),ICAO
OPN,open,ICAO
OPN,operation,GEN
OPNML,operations normal,GEN
OPR,"operate, operator, operational",ICAO
OPS,operations,ICAO
OPSNET,operations network,ATC
ORD,"order, indication of",ICAO
ORGPHC,orographic,NWS
ORIG,original,GEN
ORL,overrun lights,GEN
ORS,over range station,ATC
OSV,ocean station vessel,NWS
OT,on time,ATC
OTAS,on top and smooth,NWS
OTFC,overflight traffic,GEN
OTLK,outlook,NWS
OTP,on top,ATC
OTR,other,GEN
OTRW,otherwise,GEN
OTS,organized track system,GEN
OTS,out of service,GEN
OUBD,outbound,ICAO
OV,location (PIREP only),ATC
OVC,overcast,NWS
OVD,overdue,GEN
OVHD,overhead,GEN
OVLA,overlay,GEN
OVNGT,overnight,GEN
OVR,over,GEN
OVRN,overrun,GEN
OVSEA,overseas,GEN
OVTK,overtake,GEN
OW,one way,GEN
OWF,optimum working frequency,GEN
OXY,oxygen,GEN
P,in RVR indicates visibility greater than highest reportable sensor value,METAR
P,Pacific Standard Time (time group only),NWS
P,polar (air mass),NWS
P,prohibited area,ICAO
P/CG,pilot controller glossary,GEN
P6SM,visibility greater than 6 SM (TAF only),METAR
PA,precision approach,GEN
PA,pressure altitude,GEN
PAC,Pacific,NWS
PACF,parent FSS assumes control of parttime FSS,GEN
PADRA,pass to air defense radar,ATC
PAEW,personnel and equipment working,GEN
PAJA,parachute jumping activities,GEN
PALS,precision approach lighting system,ICAO
PALT,present altitude,ATC
PANS,procedures for air navigation services,ICAO
PAPI,precision approach path indicator,GEN
PAR,precision approach radar,GEN
PARA,paragraph,GEN
PAREN,parenthesis,GEN
PARL,parallel,ICAO
PARROT,Position adjustable range reference orientation transponder,ATC
PARROT,Transponder,GEN
PAT,pattern,GEN
PATC,Precision approach terrain chart,ICAO
PATWAS,pilots automatic telephone weather answering service,GEN
PAU,present address unknown,GEN
PAX,passenger,ICAO
PBCT,proposed boundary crossing time,GEN
PBL,probable,NWS
PBS,public buildings service,GEN
PCA,positive control area,GEN
PCD,proceed,ICAO
PCK,pilot check,ATC
PCL,pilot controlled lighting,GEN
PCL,Pilot controlled lighting,ICAO
PCN,pavement classification number,ICAO
PCPN,precipitation,NWS
PCS,permanent change of station,GEN
PD,period,GEN
PDAR,preferential arrival/departure route (Stage A),GEN
PDC,Predeparture clearance,ICAO
PDDC,proceed directly on course,ATC
PDMT,predominant,NWS
PDMT,predominate,NWS
PDOP,Position Dilution of Precision,ATC
PDR,preferential departure route (Stage A),GEN
PDW,priority delayed weather,NWS
PEN,peninsula,NWS
PENT,penetrate or penetration,ATC
PER,performance,ICAO
PERCOM,peripheral communications,GEN
PERF,perforator,GEN
PERM,permanent,GEN
PFSV,pilot to forecaster service,GEN
PGTSND,Puget Sound,NWS
PHYS,physical,GEN
PIB,Preflight information bulletin,ICAO
PIBAL,pilot balloon observation,NWS
PIC,pilot in command,GEN
PIR,precision instrument runway,GEN
PIREP,pilot weather report,GEN
PIRFC,pilot requests forecast,GEN
PISE,no pilot balloon observation due to unfavorable sea conditions,NWS
PISO,no pilot balloon observation due to snow,NWS
PIT,pilot instructor training,GEN
PIWI,"no pilot balloon observation due to high, or gusty, surface wind",NWS
PJE,parachute jumping exercise,ICAO
PK,WND peak wind (weather reports only),NWS
PL,ice pellets,METAR
PLA,practice low approach,ATC
PLASI,pulsating visual approach slope indicators,ATC
PLAT,present latitude,ATC
PLF,private line telephone,GEN
PLN,flight plan,ICAO
PLOB,place of birth,GEN
PLONG,present longitude,ATC
PLS,please,GEN
PLT,private line teletypewriter,GEN
PLVL,present level,ICAO
PLW,plow (snow),NWS
PM,post meridiem,GEN
PMSN,permission,GEN
PMT,permit,GEN
PN,prior notice required,ICAO
PNHDL,panhandle,NWS
PNR,point of no return,ATC
PO,dust devils,METAR
PO,post office,GEN
PO,purchase order,GEN
POA,privately owned aircraft,GEN
POB,persons on board,ICAO
POC,proceed or proceeding on course,ATC
POS,positive,GEN
POSS,possible,ICAO
POV,privately owned vehicle,GEN
PP,pay period (number),GEN
PP(RBS,ration by schedule plus compression,ATC
PPI,plan position indicator,ICAO
PPINA,radar weather report not available (or omitted for a reason different than those otherwise stated),NWS
PPINE,radar weather report no echoes observed,NWS
PPINO,radar weather report equipment inoperative due to breakdown,NWS
PPIOK,radar weather report equipment operation resumed,NWS
PPIOM,radar weather report equipment inoperative due to maintenance,NWS
PPR,prior permission required,GEN
PPS,propose,GEN
PPSN,present position,ATC
PR,partial,METAR
PR,photo reconnaissance,GEN
PRBL,probable,GEN
PRBLTY,probability,NWS
PRBO,position relief briefing observed,ATC
PRCF,parent FSS returns control of parttime FSS,GEN
PRCHT,parachute,GEN
PRCTN,precaution,GEN
PRECD,precede,GEN
PREF,preferred,ATC
PRES,pressure,GEN
PRESFR,pressure falling rapidly,NWS
PRESRR,pressure rising rapidly,NWS
PREV,previous,GEN
PRFG,fog partial,METAR
PRI,primary,ICAO
PRIM,primary,GEN
PRIN,principal,GEN
PRIND,present indications are,GEN
PRIRA,primary radar,GEN
PRJMP,pressure jump (weather reports only),NWS
PRKG,parking,ICAO
PRN,pseudo random noise,GEN
PROB,probability,ICAO
PROB30,slight chance,METAR
PROB40,probability 40 percent,METAR
PROC,procedure,GEN
PROCD,proceed,GEN
PROG,prognosis or prognostic,NWS
PROG,progress,GEN
PROP,propeller,GEN
PROPA,propagation,GEN
PROSIG,procedure signal,GEN
PROV,provisional,ICAO
PRP,prepare,GEN
PRSNT,present,NWS
PRST,persist,GEN
PRVD,provide,GEN
PS,passenger service,GEN
PS,plus,NWS
PSBL,possible,GEN
PSG,passage,NWS
PSG,passing,NWS
PSGR,passenger,GEN
PSN,position,GEN
PSNAL,personal,GEN
PSNL,personnel,GEN
PSNRP,position report,ATC
PSP,pierced steel planking,ICAO
PSR,Primary surveillance radar,ICAO
PSRI,position subject to return of incumbent,GEN
PSRS,position subject to rotating shifts,GEN
PST,Pacific Standard Time,GEN
PT,procedure turn,GEN
PTC,positive target control,ATC
PTCHY,patchy,NWS
PTCP,participate,GEN
PTLY,partly,NWS
PTN,portion,GEN
PTP,pointtopoint,ATC
PTR,printer,GEN
PTS,polar track structure,ICAO
PUB,public,GEN
PUBL,publish,GEN
PUP,pickup,GEN
PVA,positive vorticity advection,NWS
PVASI,pulsating/steady visual approach slope indicator,GEN
PVL,prevail,GEN
PVLT,prevalent,GEN
PVT,private,GEN
PWB,pilot weather briefing,GEN
PWI,proximity warning indicator,ATC
PWINO,precipitation identifier information not available (weather reports only),NWS
PWR,power,GEN
PWRNO,power failure,GEN
PWROK,power restored,GEN
PY,spray,METAR
QDL,Do you intend to ask me for a series of bearings? Or I intend to ask you for a series of bearings,ICAO
QDM,magnetic heading,ICAO
QDR,magnetic bearing,ICAO
QFE,atmospheric pressure at airport elevation,ICAO
QFLOW,quota flow control procedures,GEN
QFU,magnetic orientation of runway,ICAO
QGE,What is my distance to your station or Tour distance to my station is …,ICAO
QJH,Shall I run my test tape/a test sentence,ICAO
QLFY,qualify,GEN
QLTY,quality,GEN
QN,question,GEN
QNH,altimeter subscale setting to obtain elevation when on the ground,ICAO
QNTY,quantity,GEN
QSP,Will you relay to …free of charge or I will relay to…free of charge,ICAO
QSTNRY,quasistationary,NWS
QTA,Shall I cancel telegram number …? Or cancel telegram number …,ICAO
QTE,true bearing,ICAO
QTR,quarter,GEN
QUAD,quadrant,GEN
QUE,Quebec,NWS
QUJ,Will you indicate the TRUE track to reach you or the TRUE track to reach me is …degrees at …hours,ICAO
R,restricted area (followed by identification),ICAO
R/O,receive only,GEN
R/OC,"receive, only centers",GEN
RA,rain,METAR
RAAF,Royal Australian Air Force,GEN
RABA,"no RAWIN obs., no balloons available",NWS
RABAL,radiosonde balloon wind data,NWS
RABAR,radiosonde balloon release,NWS
RAC,request altitude change,ATC
RAC,rules of the air and air traffic services,ICAO
RACE,request altitude changes en route,ATC
RACFI,radio and communication facilities inoperative,GEN
RACO,"no RAWIN obs., communications out",NWS
RACON,radar responder beacon,GEN
RADAT,radiosonde observation data,NWS
RADEP,radar departure,ATC
radio,range,ICAO
RADNO,report missing account radio failure,NWS
RADON,radar beacon,GEN
RADU,weather radar analysis and development unit,GEN
RAF,Royal Air Force,GEN
RAFC,regional area forecast center,ICAO
RAFI,radiosonde observation not filed,NWS
RAFRZ,radiosonde observation freezing levels,NWS
RAG,ragged,ICAO
RAG,runway arresting gear,ICAO
RAGF,remote airground facility,GEN
RAHE,"no RAWIN obs., no gas available",NWS
RAI,runway alignment indicator,ICAO
RAICG,radiosonde observation icing at,NWS
RAIL,runway alignment indicator lights,GEN
RAIM,Receiver Autonomous Integrity Monitoring,ATC
RAJAM,radar jamming,ATC
RALT,regardless of altitude,ATC
RAM,returned account mechanical,GEN
RAOB,radiosonde observation,NWS
RAPCON,radar approach control,GEN
RAPI,radiosonde report already sent in PIBAL collection,GEN
RARAD,radar advisory,GEN
RAREP,radar weather report,NWS
RASC,Regional AIS system centre,ICAO
RASH,rain showers,ICAO
RASN,rain and snow or showers of rain and snow,METAR
RATCF,radar ATC facility (USN),GEN
RAVU,radiosonde analysis and verification unit,NWS
RAWE,"no RAWIN obs., unfavorable weather",NWS
RAWI,"no RAWIN obs., high and gusty winds",NWS
RAWIN,upper winds obs. (by radio methods),NWS
RAWX,returned account weather,GEN
RB,rescue boat,ICAO
RB,right base,ATC
RBDE,radar bright display equipment,GEN
RBN,radio beacon,GEN
RBOC,report back on course,ATC
RBOF,report back on frequency,ATC
RBS,radar bomb scoring,GEN
RC,reverse course,ATC
RC,road reconnaissance,GEN
RCA,reach cruising altitude,ICAO
RCADV,reverse course and advise,ATC
RCAG,remote communications air/ground facility,GEN
RCALT,reach cruising altitude,ATC
RCC,Rescue Coordination Center,GEN
RCD,radar cloud detection report,NWS
RCDNA,radar cloud detection report not available,NWS
RCDNE,radar cloud detection report no echoes observed,NWS
RCDNO,radar cloud detector inoperative due to breakdown until,NWS
RCDOM,radar cloud detector inoperative due to maintenance until,NWS
RCF,radio communication failure,ICAO
RCF,radiocommunication failure,ICAO
RCF,remain on company frequency,ATC
RCH,reach,GEN
RCK,radio check,ATC
RCKY,Rockies (mountains),NWS
RCL,runway center line,ICAO
RCLL,runway center line lights,ICAO
RCLM,runway centerline marking,GEN
RCLR,radio communications link repeater,GEN
RCLS,runway centerline light system,GEN
RCLT,radio communications link terminal,GEN
RCMD,recommend,GEN
RCN,Royal Canadian Navy,GEN
RCO,remote communication outlet,GEN
RCOM,en route communications,GEN
RCON,reconfiguration,ATC
RCPT,receipt,GEN
RCR,runway condition reading,GEN
RCRD,record,GEN
RCS,Rehost Computer System,ATC
RCV,receive,GEN
RCVNO,receiving capability out,GEN
RDARA,regional and domestic air route area,GEN
RDAT,radar data (digitized),GEN
RDC,reduce,GEN
RDG,ridge,NWS
RDH,reference datum height (ILS),ICAO
RDL,radial,ICAO
RDO,radio,ICAO
RDS,radius,GEN
RDSP,redispatch,GEN
RDSPA,redispatch accepted,GEN
RDWND,radar dome wind,NWS
RE,regard,GEN
REBAT,reference BATCS report,GEN
REC,receive,ICAO
RECLR,recleared,ICAO
RECON,reconnaissance,GEN
REDL,runway edge light,ICAO
REF,reference,GEN
REFONE,reference our telephone conversation,GEN
REFORM,reference form,GEN
REG,registration,ICAO
REGAL,range and elevation guidance for approach and landing,ATC
REIB,report established in block,ATC
REIL,runway end identifier lights,GEN
REINV,reference invoice,GEN
RELBL,reliable,GEN
RELCT,relocate,GEN
RELET,reference letter,GEN
REMES,reference message,GEN
REMT,relief electronic maintenance technician,GEN
RENL,runway end light,ICAO
RENOT,regional office notice,GEN
REOC,report when established on course,ATC
REP,report or reporting point,ICAO
REPAML,reply by airmail,GEN
REPBS,reference PBS message,GEN
REPERF,reperforator,GEN
REPMES,reply by message,GEN
REPML,reply by mail,GEN
REPTWX,reply by TWX,GEN
REQ,request,GEN
REQID,request if desired,GEN
REQON,request consideration,GEN
REQRCM,request your recommendation,GEN
REQSTD,requested,GEN
RERTE,reroute,ICAO
RES,reserve,GEN
RES,resident,GEN
RESA,Runway end safety area,ICAO
RESP,response,GEN
RESTR,restrict,NWS
REWRC,report when established well to right of course,ATC
RF,radio frequency,GEN
RFA,request further airways,ATC
RFI,radio frequency interference,GEN
RFI,ready for issue,GEN
RFL,refuel,GEN
RFS,refuse,GEN
RFTO,ready for takeoff,ATC
RG,range (lights),ICAO
RG,reception good (radio logs only),ATC
RGD,ragged,NWS
RGLR,regular,GEN
RGN,region,GEN
RH,relative humidity,NWS
RHI,range height indicator,GEN
RHINO,radar range height indicator not operating on scan,NWS
RIF,reclearance in flight,ICAO
RIMAT,must ride company material,GEN
RIOGD,Rio Grande,NWS
RIS,reports identification symbol,GEN
RITC,Request in Trail Climb,ATC
RITD,Request in Trail Descent,ATC
RITE,right (direction of turn),ICAO
RL,report immediately upon leaving,ATC
RL,report leaving,ICAO
RLA,relay to,ICAO
RLANO,relay equipment out of operation,GEN
RLAOK,relay equipment resumed operation,GEN
RLBG,relative bearing,GEN
RLC,report landing completed,ATC
RLCE,request level change en route,ICAO
RLETFL,report leaving each thousand foot level,ATC
RLLS,runway leadin lighting system,ICAO
RLNA,request level not available,ICAO
RLS,release,GEN
RLSTN,relay station,GEN
RLTK,rhumbline track,ATC
RLTV,relative,GEN
RLV,relieve,GEN
RLVL,report level,GEN
RM,remarks (PIREP only),ATC
RMK,remark,ICAO
RMLR,radar microwave link repeater,GEN
RMLT,radar microwave link terminal,GEN
RMN,remain,GEN
RMPCK,ramp check,ATC
RMRK,remark,GEN
RN,reception nil (radio logs only),ATC
RNAV,area navigation,GEN
RNFL,rainfall,NWS
RNG,Army National Guard,GEN
RNG,radio range,ICAO
RNLS,resume normal speed,ATC
RNP,required navigation performance,ICAO
RO,regulated output,GEN
ROBEPS,radar operating below prescribed standard,NWS
ROBEX,regional OPMET bulletin exchange,ICAO
ROC,rate of climb,ICAO
ROCC,NORAD Region Operations Control Center,GEN
ROD,rate of descent,ICAO
RODA,regardless of destination airport,ATC
ROFOR,route forecast,ICAO
ROLET,reference letter from our office,GEN
ROMEMO,reference our memorandum,GEN
ROMES,reference message from our office,GEN
RON,remaining overnight,GEN
ROPBS,reference PBS message from our office,GEN
RORQN,reference requisition from our office,GEN
RORU,rest of route unchanged,ATC
ROT,rotate,GEN
ROTEL,reference telegram from our office,GEN
ROTG,rotating,GEN
ROTWX,reference our TWX,GEN
ROV,report over,ATC
RP,reception poor (radio logs only),ATC
RPA,request present altitude,ATC
RPD,rapid,NWS
RPFOD,reported for duty,GEN
RPI,Radar position indicator,ICAO
RPL,repetitive flight plan,ICAO
RPLC,replace,GEN
RPM,rotation per minute,GEN
RPOC,report proceeding on course,ATC
RPR,repair,GEN
RPRT,report,GEN
RPS,radar position symbol,ICAO
RPSG,report passing,ATC
RPT,repeat,GEN
RPT,Repeat or I repeat,ICAO
RQ,Indication of a request,ICAO
RQ,request,GEN
RQCL,request clearance,ATC
RQDCZ,request clearance to depart VFR and leave control zone at,ATC
RQECZ,request clearance to enter control zone VFR at,ATC
RQMNTS,requirements,ICAO
RQN,requisition,GEN
RQOF,request on file,ATC
RQP,request flight plan,ICAO
RQPP,request present position,ATC
RQR,require,GEN
RQRP,request reply,GEN
RQS,request supplementary flight plan,ICAO
RQTAO,request time and altitude over,ATC
RR,report reaching,ICAO
RRBN,round robin,ATC
RRCVR,remote receiver,GEN
RRL,runway remaining lights,GEN
RRP,runway reference point,GEN
RRPD,runway reference point downwind,GEN
RRPU,runway reference point upwind,GEN
RRS,remainder of same route,ATC
RRTE,reroute,ATC
RS,receiver station,GEN
